"","unlist.htweet."
"tweet_ 1",207
"tweet_ 2",229
"tweet_ 3",16
"tweet_ 4",257
"tweet_ 5",182
"tweet_ 6",212
"tweet_ 7",178
"tweet_ 8",67
"tweet_ 9",204
"tweet_ 10",27
"tweet_ 11",230
"tweet_ 12",205
"tweet_ 13",165
"tweet_ 14",230
"tweet_ 15",266
"tweet_ 16",165
"tweet_ 17",252
"tweet_ 18",80
"tweet_ 19",160
"tweet_ 20",81
"tweet_ 21",95
"tweet_ 22",205
"tweet_ 23",174
"tweet_ 24",224
"tweet_ 25",90
"tweet_ 26",59
"tweet_ 27",36
"tweet_ 28",50
"tweet_ 29",110
"tweet_ 30",186
"tweet_ 31",36
"tweet_ 32",251
"tweet_ 33",165
"tweet_ 34",45
"tweet_ 35",6
"tweet_ 36",57
"tweet_ 37",15
"tweet_ 38",133
"tweet_ 39",130
"tweet_ 40",116
"tweet_ 41",205
"tweet_ 42",19
"tweet_ 43",266
"tweet_ 44",97
"tweet_ 45",45
"tweet_ 46",148
"tweet_ 47",21
"tweet_ 48",216
"tweet_ 49",224
"tweet_ 50",78
"tweet_ 51",237
"tweet_ 52",245
"tweet_ 53",133
"tweet_ 54",15
"tweet_ 55",93
"tweet_ 56",227
"tweet_ 57",70
"tweet_ 58",45
"tweet_ 59",90
"tweet_ 60",157
"tweet_ 61",79
"tweet_ 62",103
"tweet_ 63",172
"tweet_ 64",22
"tweet_ 65",150
"tweet_ 66",205
"tweet_ 67",243
"tweet_ 68",102
"tweet_ 69",47
"tweet_ 70",222
"tweet_ 71",75
"tweet_ 72",92
"tweet_ 73",130
"tweet_ 74",248
"tweet_ 75",154
"tweet_ 76",261
"tweet_ 77",66
"tweet_ 78",188
"tweet_ 79",75
"tweet_ 80",113
"tweet_ 81",45
"tweet_ 82",223
"tweet_ 83",199
"tweet_ 84",118
"tweet_ 85",27
"tweet_ 86",44
"tweet_ 87",49
"tweet_ 88",230
"tweet_ 89",205
"tweet_ 90",250
"tweet_ 91",43
"tweet_ 92",28
"tweet_ 93",85
"tweet_ 94",40
"tweet_ 95",143
"tweet_ 96",181
"tweet_ 97",130
"tweet_ 98",52
"tweet_ 99",212
"tweet_ 100",140
"tweet_ 101",163
"tweet_ 102",187
"tweet_ 103",35
"tweet_ 104",80
"tweet_ 105",242
"tweet_ 106",149
"tweet_ 107",102
"tweet_ 108",30
"tweet_ 109",149
"tweet_ 110",65
"tweet_ 111",234
"tweet_ 112",192
"tweet_ 113",76
"tweet_ 114",145
"tweet_ 115",95
"tweet_ 116",113
"tweet_ 117",30
"tweet_ 118",132
"tweet_ 119",227
"tweet_ 120",241
"tweet_ 121",91
"tweet_ 122",157
"tweet_ 123",125
"tweet_ 124",68
"tweet_ 125",215
"tweet_ 126",75
"tweet_ 127",153
"tweet_ 128",7
"tweet_ 129",154
"tweet_ 130",26
"tweet_ 131",7
"tweet_ 132",24
"tweet_ 133",9
"tweet_ 134",74
"tweet_ 135",233
"tweet_ 136",172
"tweet_ 137",204
"tweet_ 138",247
"tweet_ 139",193
"tweet_ 140",244
"tweet_ 141",135
"tweet_ 142",109
"tweet_ 143",107
"tweet_ 144",49
"tweet_ 145",133
"tweet_ 146",215
"tweet_ 147",75
"tweet_ 148",20
"tweet_ 149",187
"tweet_ 150",187
"tweet_ 151",250
"tweet_ 152",115
"tweet_ 153",253
"tweet_ 154",64
"tweet_ 155",113
"tweet_ 156",27
"tweet_ 157",235
"tweet_ 158",27
"tweet_ 159",57
"tweet_ 160",164
"tweet_ 161",74
"tweet_ 162",248
"tweet_ 163",90
"tweet_ 164",233
"tweet_ 165",53
"tweet_ 166",172
"tweet_ 167",223
"tweet_ 168",9
"tweet_ 169",186
"tweet_ 170",175
"tweet_ 171",242
"tweet_ 172",13
"tweet_ 173",164
"tweet_ 174",116
"tweet_ 175",35
"tweet_ 176",221
"tweet_ 177",205
"tweet_ 178",80
"tweet_ 179",57
"tweet_ 180",19
"tweet_ 181",19
"tweet_ 182",154
"tweet_ 183",113
"tweet_ 184",196
"tweet_ 185",35
"tweet_ 186",161
"tweet_ 187",84
"tweet_ 188",13
"tweet_ 189",10
"tweet_ 190",78
"tweet_ 191",130
"tweet_ 192",231
"tweet_ 193",26
