"","Indice","Latitud","Longitud","Sector","Hora","colClasses"
"1",261,-0.22564,-78.513395,"ND","18:27:34","numeric"
"2",101,-0.2092118,-78.4956193," NO DEFINIDO","06:53:54","character"
"3",145,-0.2529851,-78.5213685," EL RECREO","02:57:59","POSIXct"
"4",75,-0.205317,-78.4795209999999," LA FLORESTA","21:27:23","numeric"
"5",47,-0.2214185,-78.5127211," CENTRO HISTORICO","23:36:03","numeric"
"6",127,-0.2484601,-78.5257342," Antiguo Convenio","11:06:43","numeric"
"7",176,-0.1966806,-78.4998035,"ND","01:56:15","character"
"8",137,-0.3446081,-78.55937," GUAMANI","05:29:16","POSIXct"
"9",263,-0.229343,-78.511118,"ND","04:13:28","numeric"
"10",189,-0.2784766,-78.5428262,"ND","18:07:23","numeric"
"11",267,-0.127787,-78.470157,"ND","08:56:35","numeric"
"12",92,-0.2132298,-78.4846652," LA FLORESTA","22:58:45","character"
"13",123,-0.2063694,-78.4962994," LA MARISCAL","21:35:20","POSIXct"
"14",3,-0.2235964,-78.5129652," CENTRO HISTORICO","22:06:18","numeric"
"15",139,-0.2698078,-78.4637868," CONOCOTO","03:57:37","numeric"
"16",123,-0.2063694,-78.4962994," LA MARISCAL","15:18:59","numeric"
"17",258,-0.220943,-78.515096,"ND","10:09:20","character"
"18",262,-0.227709999999999,-78.511678,"ND","01:35:12","POSIXct"
"19",94,-0.2001353,-78.4755349," LA FLORESTA","13:13:00","numeric"
"20",152,-0.2204609,-78.5107952," CENTRO HISTORICO","16:53:23","numeric"
"21",239,-0.119253,-78.490336," LA OFELIA","21:36:57","numeric"
"22",82,-0.2082518,-78.4902239," LA FLORESTA","11:01:32","character"
"23",131,-0.1988908,-78.4345293," Antiguo Convenio","10:46:18","POSIXct"
"24",115,-0.2921986,-78.4001434," LA MERCED","23:04:47","numeric"
"25",3,-0.2235964,-78.5129652," CENTRO HISTORICO","02:48:02","numeric"
"26",108,-0.2070983,-78.4953994," NO DEFINIDO","03:25:31","numeric"
"27",58,-0.1830296,-78.4822974," LA CAROLINA","21:27:57","character"
"28",37,-0.2076293,-78.5052967," CENTRO HISTORICO","11:39:24","POSIXct"
"29",155,-0.215912,-78.5030544,"ND","07:52:25","numeric"
"30",186,-0.2285236,-78.5068631," LA MARIN","04:43:44","numeric"
"31",222,-0.2891463,-78.4669572,"ND","07:22:28","numeric"
"32",52,-0.1839268,-78.4869182," LA CAROLINA","23:44:06","character"
"33",103,-0.2340865,-78.5148132," NO DEFINIDO","02:21:03","POSIXct"
"34",202,-0.2997623,-78.542397,"ND","08:06:38","numeric"
"35",20,-0.218578,-78.5139415," CENTRO HISTORICO","17:02:54","numeric"
"36",199,-0.271696,-78.5290182,"ND","18:38:04","numeric"
"37",234,-0.2117814,-78.4056902,"ND","04:56:58","character"
"38",158,-0.1982256,-78.4959358,"ND","07:09:43","POSIXct"
"39",171,-0.1818374,-78.4898365," LA CAROLINA","01:45:09","numeric"
"40",214,-0.2937703,-78.4352749,"ND","08:21:30","numeric"
"41",145,-0.2529851,-78.5213685," EL RECREO","00:33:36","numeric"
"42",257,-0.218603,-78.511359,"ND","10:25:36","character"
"43",93,-0.1993414,-78.4754705," LA FLORESTA","02:29:19","POSIXct"
"44",16,-0.2147479,-78.5011125," CENTRO HISTORICO","15:15:34","numeric"
"45",205,-0.2863944,-78.4464437,"ND","23:13:23","numeric"
"46",89,-0.210997,-78.482433," LA FLORESTA","21:44:10","numeric"
"47",120,-0.2021764,-78.4886912," NO DEFINIDO","09:13:22","character"
"48",153,-0.2177948,-78.5058868,"ND","03:50:47","POSIXct"
"49",130,-0.1568178,-78.4395236," NAYON","06:53:31","numeric"
"50",140,-0.1801369,-78.4671879," Antiguo Convenio","11:52:46","numeric"
"51",157,-0.1979574,-78.4957749,"ND","22:44:38","numeric"
"52",251,-0.221476,-78.510911,"ND","11:23:46","character"
"53",189,-0.2784766,-78.5428262,"ND","14:12:49","POSIXct"
"54",1,-0.2101185,-78.5003829," CENTRO HISTORICO","17:29:25","numeric"
"55",56,-0.1880037,-78.4855529," LA CAROLINA","01:43:44","numeric"
"56",30,-0.2207828,-78.5104116," CENTRO HISTORICO","21:06:38","numeric"
"57",263,-0.229343,-78.511118,"ND","12:14:05","character"
"58",81,-0.2088524,-78.4895095," LA FLORESTA","12:54:37","POSIXct"
"59",35,-0.2173174,-78.5090894," CENTRO HISTORICO","22:19:14","numeric"
"60",198,-0.2671578,-78.5270655,"ND","12:04:43","numeric"
"61",204,-0.2895701,-78.5385132,"ND","17:17:26","numeric"
"62",111,-0.0886416,-78.4709001," CARCELEN","01:19:01","character"
"63",258,-0.220943,-78.515096,"ND","04:42:48","POSIXct"
"64",11,-0.2218235,-78.5181606," CENTRO HISTORICO","00:08:37","numeric"
"65",118,-0.201435,-78.496327," NO DEFINIDO","07:36:22","numeric"
"66",208,-0.2942451,-78.4430024,"ND","00:20:38","numeric"
"67",167,-0.1882478,-78.491832,"ND","18:32:23","character"
"68",8,-0.2232826,-78.5160497," CENTRO HISTORICO","13:08:41","POSIXct"
